datetime,co,Lat,Long,day,month,year,hour,gmt,no2,o3,pm10,pm25,so2
2018-07-08 11:00:00,0.41,34.06643,-118.22675,8,07,2018,11,-08:00,0.027999999999999997,0.013999999999999999,41.0,26.0,0.0
2018-05-29 02:00:00,0.14,34.06643,-118.22675,9,05,2018,02,-08:00,0.006,0.033,24.0,14.0,0.0
2018-08-07 04:00:00,0.3,34.06643,-118.22675,7,08,2018,04,-08:00,0.017,0.017,38.0,19.0,0.0
2018-06-05 14:00:00,0.24,34.06643,-118.22675,5,06,2018,14,-08:00,0.02,0.018000000000000002,44.0,18.0,0.0
2018-06-05 17:00:00,0.25,34.06643,-118.22675,5,06,2018,17,-08:00,0.019,0.022000000000000002,44.0,25.0,0.001
2018-08-27 13:00:00,0.31,34.06643,-118.22675,7,08,2018,13,-08:00,0.013000000000000001,0.026000000000000002,41.0,26.0,0.0
2018-08-03 00:00:00,0.16,34.06643,-118.22675,3,08,2018,00,-08:00,0.005,0.027000000000000003,23.0,10.0,0.0
2018-06-15 21:00:00,0.2,34.06643,-118.22675,5,06,2018,21,-08:00,0.012,0.052000000000000005,39.0,20.0,0.001
2018-07-30 23:00:00,0.2,34.06643,-118.22675,0,07,2018,23,-08:00,0.006999999999999999,0.04,22.0,13.0,0.0
2018-06-12 11:00:00,0.44,34.06643,-118.22675,2,06,2018,11,-08:00,0.03,0.001,41.0,21.0,0.001
2018-06-12 04:00:00,0.21,34.06643,-118.22675,2,06,2018,04,-08:00,0.01,0.037000000000000005,44.0,15.0,0.001
2018-08-18 06:00:00,0.24,34.06643,-118.22675,8,08,2018,06,-08:00,0.005,0.024,25.0,12.0,0.0
2018-08-13 09:00:00,0.29,34.06643,-118.22675,3,08,2018,09,-08:00,0.016,0.003,24.0,13.0,0.0
2018-07-28 15:00:00,0.29,34.06643,-118.22675,8,07,2018,15,-08:00,0.012,0.025,40.0,25.0,0.0
2018-05-18 06:00:00,0.13,34.06643,-118.22675,8,05,2018,06,-08:00,0.009000000000000001,0.028999999999999998,25.0,8.0,0.001
2018-09-15 07:00:00,0.32,34.06643,-118.22675,5,09,2018,07,-08:00,0.024,0.013000000000000001,45.0,16.0,0.001
2018-08-02 08:00:00,0.23,34.06643,-118.22675,2,08,2018,08,-08:00,0.008,0.017,17.0,12.0,0.0
2018-07-18 19:00:00,0.29,34.06643,-118.22675,8,07,2018,19,-08:00,0.021,0.028999999999999998,41.0,22.0,0.0
2017-06-01 07:00:00,0.23,34.0669,-118.2417,1,06,2017,07,-08:00,0.009000000000000001,0.05,35.0,25.0,0.0
2017-06-01 08:00:00,0.22,34.0669,-118.2417,1,06,2017,08,-08:00,0.008,0.05,33.0,22.0,0.0
2017-06-01 09:00:00,0.2,34.0669,-118.2417,1,06,2017,09,-08:00,0.009000000000000001,0.049,32.0,22.0,0.0
2017-06-01 10:00:00,0.18,34.0669,-118.2417,1,06,2017,10,-08:00,0.008,0.052000000000000005,22.0,11.0,0.0
2017-06-01 11:00:00,0.18,34.0669,-118.2417,1,06,2017,11,-08:00,0.006999999999999999,0.054000000000000006,22.0,11.0,0.0
2017-06-01 12:00:00,0.21,34.0669,-118.2417,1,06,2017,12,-08:00,0.013999999999999999,0.047,26.0,14.0,0.0
2017-06-01 14:00:00,0.22,34.0669,-118.2417,1,06,2017,14,-08:00,0.01,0.067,37.0,19.0,0.0
2017-06-01 15:00:00,0.24,34.0669,-118.2417,1,06,2017,15,-08:00,0.012,0.077,26.0,15.0,0.0
2018-06-21 19:00:00,0.32,34.06643,-118.22675,1,06,2018,19,-08:00,0.018000000000000002,0.052000000000000005,62.0,35.0,0.001
2018-07-29 05:00:00,0.21,34.06643,-118.22675,9,07,2018,05,-08:00,0.01,0.019,22.0,15.0,0.0
2018-07-30 00:00:00,0.22,34.06643,-118.22675,0,07,2018,00,-08:00,0.006,0.053,25.0,14.0,0.0
2018-08-18 10:00:00,0.25,34.06643,-118.22675,8,08,2018,10,-08:00,0.006,0.025,28.0,17.0,0.0
2018-07-18 21:00:00,0.35,34.06643,-118.22675,8,07,2018,21,-08:00,0.015,0.052000000000000005,61.0,29.0,0.0
2017-07-09 16:00:00,0.21,34.06643,-118.22675,9,07,2017,16,-08:00,0.009000000000000001,0.036000000000000004,41.0,22.0,0.001
